date,usde_close,shares_outstanding,ena_price,ena_holdings,market_cap,ena_nav,nav_per_share,mnav,ena_unlocked,nav_unlocked,nav_unlocked_per_share,mnav_unlocked
2026-06-26,3.7,24110000.0,0.082295,3029000000.0,89207001.0,249272365.0,10.339,0.3579,882771136.0,72647887.0,3.0132,1.2279
2026-06-29,3.33,24110000.0,0.076713,3029000000.0,80286298.0,232362245.0,9.6376,0.3455,882771136.0,67719605.0,2.8088,1.1856
2026-06-30,2.75,24110000.0,0.078602,3029000000.0,66302500.0,238086946.0,9.875,0.2785,882771136.0,69388010.0,2.878,0.9555
2026-07-01,2.08,24110000.0,0.072049,3029000000.0,50148798.0,218236463.0,9.0517,0.2298,882771136.0,63602790.0,2.638,0.7885
2026-07-02,2.78,24110000.0,0.071221,3029000000.0,67025799.0,215728013.0,8.9477,0.3107,882771136.0,62871728.0,2.6077,1.0661
2026-07-06,2.62,24110000.0,0.080564,3029000000.0,63168197.0,244027641.0,10.1214,0.2589,882771136.0,71119366.0,2.9498,0.8882
2026-07-07,2.36,24110000.0,0.078294,3029000000.0,56899597.0,237153841.0,9.8363,0.2399,882771136.0,69116066.0,2.8667,0.8232
2026-07-08,2.03,24110000.0,0.075879,3029000000.0,48943299.0,229837357.0,9.5329,0.2129,882771136.0,66983752.0,2.7783,0.7307
2026-07-09,2.19,24110000.0,0.074681,3029000000.0,52800901.0,226207269.0,9.3823,0.2334,882771136.0,65925800.0,2.7344,0.8009
2026-07-10,1.96,24110000.0,0.076386,3029000000.0,47255601.0,231374632.0,9.5966,0.2042,882771136.0,67431775.0,2.7968,0.7008
2026-07-13,1.9,24110000.0,0.079878,3029000000.0,45808999.0,241950067.0,10.0353,0.1893,882771136.0,70513878.0,2.9247,0.6496
2026-07-14,1.78,24110000.0,0.078504,3029000000.0,42915799.0,237788325.0,9.8626,0.1805,882771136.0,69300981.0,2.8744,0.6193
2026-07-15,1.82,24110000.0,0.083999,3029000000.0,43880201.0,254431915.0,10.553,0.1725,882771136.0,74151585.0,3.0756,0.5918
2026-07-16,1.92,24110000.0,0.083481,3029000000.0,46291199.0,252864679.0,10.488,0.1831,882771136.0,73694830.0,3.0566,0.6281
2026-07-17,1.74,24110000.0,0.082251,3029000000.0,41951400.0,249137591.0,10.3334,0.1684,882771136.0,72608608.0,3.0116,0.5778
2026-07-20,1.73,24110000.0,0.079797,3029000000.0,41710300.0,241704506.0,10.0251,0.1726,882771136.0,70442312.0,2.9217,0.5921
2026-07-21,1.87,24110000.0,0.082802,3029000000.0,45085700.0,250806871.0,10.4026,0.1798,882771136.0,73095103.0,3.0317,0.6168
2026-07-22,1.87,24110000.0,0.086647,3029000000.0,45085700.0,262454896.0,10.8857,0.1718,882771136.0,76489801.0,3.1725,0.5894
2026-07-23,1.74,24110000.0,0.090121,3029000000.0,41951400.0,272975716.0,11.3221,0.1537,882771136.0,79555986.0,3.2997,0.5273
2026-07-24,1.43,24110000.0,0.088795,3029000000.0,34477299.0,268961142.0,11.1556,0.1282,882771136.0,78385980.0,3.2512,0.4398
2026-07-27,1.52,24110000.0,0.090213,3029000000.0,36647200.0,273256253.0,11.3337,0.1341,882771136.0,79637746.0,3.3031,0.4602
2026-07-28,1.69,24110000.0,0.082125,3029000000.0,40745901.0,248757684.0,10.3176,0.1638,882771136.0,72497888.0,3.007,0.562
2026-07-29,1.51,24110000.0,0.083383,3029000000.0,36406100.0,252568507.0,10.4757,0.1441,882771136.0,73608514.0,3.053,0.4946
2026-07-30,1.64,24110000.0,0.078047,3029000000.0,39540400.0,236404216.0,9.8052,0.1673,882771136.0,68897596.0,2.8576,0.5739
2026-07-31,1.57,24110000.0,0.081063,3029000000.0,37852701.0,245538754.0,10.1841,0.1542,1190742896.0,96524770.0,4.0035,0.3922
2026-08-03,1.72,24110000.0,0.089258,3029000000.0,41469201.0,270362676.0,11.2137,0.1534,1190742896.0,106283406.0,4.4083,0.3902
2026-08-04,1.98,24110000.0,0.092869,3029000000.0,47737800.0,281301185.0,11.6674,0.1697,1190742896.0,110583489.0,4.5866,0.4317
2026-08-05,2.46,24110000.0,0.092262,3029000000.0,59310601.0,279461694.0,11.5911,0.2122,1190742896.0,109860359.0,4.5566,0.5399
2026-08-06,2.23,24110000.0,0.092292,3029000000.0,53765300.0,279553619.0,11.5949,0.1923,1190742896.0,109896496.0,4.5581,0.4892
2026-08-07,2.07,24110000.0,0.092678,3029000000.0,49907698.0,280722171.0,11.6434,0.1778,1190742896.0,110355870.0,4.5772,0.4522
2026-08-10,2.16,24110000.0,0.086492,3029000000.0,52077602.0,261984124.0,10.8662,0.1988,1190742896.0,102989678.0,4.2717,0.5057
2026-08-11,2.4,24110000.0,0.087894,3029000000.0,57864002.0,266231174.0,11.0424,0.2173,1190742896.0,104659254.0,4.3409,0.5529
2026-08-12,2.45,24110000.0,0.090061,3029000000.0,59069501.0,272793710.0,11.3145,0.2165,1190742896.0,107239080.0,4.4479,0.5508
2026-08-13,2.59,24110000.0,0.086711,3029000000.0,62444898.0,262646314.0,10.8937,0.2378,1190742896.0,103249994.0,4.2825,0.6048
2026-08-14,2.93,24110000.0,0.085921,3029000000.0,70642302.0,260253280.0,10.7944,0.2714,1190742896.0,102309258.0,4.2434,0.6905
2026-08-17,3.02,24110000.0,0.082311,3029000000.0,72812200.0,249318522.0,10.3409,0.292,1190742896.0,98010650.0,4.0651,0.7429
2026-08-18,2.79,24110000.0,0.083144,3029000000.0,67266899.0,251844056.0,10.4456,0.2671,1190742896.0,99003473.0,4.1063,0.6794
2026-08-19,3.09,24110000.0,0.082691,3029000000.0,74499898.0,250470758.0,10.3887,0.2974,1190742896.0,98463610.0,4.0839,0.7566
2026-08-20,4.0,24110000.0,0.093308,3029000000.0,96440000.0,282629304.0,11.7225,0.3412,1190742896.0,111105591.0,4.6083,0.868
2026-08-21,7.41,24110000.0,0.116818,3029000000.0,178655096.0,353840661.0,14.6761,0.5049,1190742896.0,139099786.0,5.7694,1.2844
2026-08-24,6.27,24110000.0,0.161352,3029000000.0,151169700.0,488736140.0,20.2711,0.3093,1190742896.0,192129114.0,7.9689,0.7868
2026-08-25,6.06,24110000.0,0.152691,3029000000.0,146106599.0,462500024.0,19.1829,0.3159,1190742896.0,181815324.0,7.5411,0.8036
2026-08-26,5.98,24110000.0,0.142904,3029000000.0,144177800.0,432855041.0,17.9533,0.3331,1190742896.0,170161461.0,7.0577,0.8473
2026-08-27,8.07,24110000.0,0.147684,3029000000.0,194567693.0,447334214.0,18.5539,0.4349,1190742896.0,175853429.0,7.2938,1.1064
2026-08-28,6.98,24110000.0,0.160717,3029000000.0,168287800.0,486811281.0,20.1913,0.3457,1190742896.0,191372425.0,7.9375,0.8794
